total_moves,avg_reasoning_length,%_opponent_mentions,reasoning_diversity,reasoning_entropy,agent_name,game_name
2,3.0,0.0,1,-0.0,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_8B_Instruct_Turbo,matrix_pd
5,5.0,0.0,1,-0.0,llm_litellm_together_ai_mistralai_Mixtral_8x7B_Instruct_v0.1,matrix_pd
3,18.0,0.0,1,-0.0,llm_litellm_fireworks_ai_accounts_fireworks_models_glm_4p5_air,matrix_rps
3,75.33333333333333,1.0,1,-0.0,llm_litellm_fireworks_ai_accounts_fireworks_models_kimi_k2_instruct,matrix_rps
2,21.0,0.0,1,-0.0,llm_litellm_fireworks_ai_accounts_fireworks_models_llama_v3_70b_instruct,matrix_rps
2,21.0,0.0,1,-0.0,llm_litellm_fireworks_ai_accounts_fireworks_models_llama_v3_8b_instruct,matrix_rps
3,31.666666666666668,0.0,2,0.9182958340544896,llm_litellm_fireworks_ai_accounts_fireworks_models_qwen3_235b_a22b_thinking_2507,matrix_rps
1,33.0,0.0,1,-0.0,llm_litellm_gpt_3.5_turbo,matrix_rps
2,34.5,1.0,1,-0.0,llm_litellm_gpt_4,matrix_rps
1,70.0,1.0,1,-0.0,llm_litellm_gpt_4_turbo,matrix_rps
2,25.0,0.0,1,-0.0,llm_litellm_gpt_5,matrix_rps
2,25.0,0.0,1,-0.0,llm_litellm_gpt_5_mini,matrix_rps
2,42.0,0.0,1,-0.0,llm_litellm_gpt_o4_mini,matrix_rps
4,40.0,0.0,1,-0.0,llm_litellm_groq_gemma2_9b_it,matrix_rps
4,13.5,1.0,1,-0.0,llm_litellm_groq_llama3_70b_8192,matrix_rps
4,76.25,1.0,2,0.8112781244591328,llm_litellm_groq_llama3_8b_8192,matrix_rps
2,27.0,0.0,1,-0.0,llm_litellm_groq_qwen3_32b,matrix_rps
2,17.0,1.0,1,-0.0,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_70B_Instruct_Turbo,matrix_rps
2,14.0,1.0,1,-0.0,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_8B_Instruct_Turbo,matrix_rps
5,76.4,0.2,2,0.7219280948873623,llm_litellm_together_ai_mistralai_Mixtral_8x7B_Instruct_v0.1,matrix_rps
15,20.8,0.06666666666666667,3,0.6998428398862386,llm_litellm_fireworks_ai_accounts_fireworks_models_glm_4p5_air,tic_tac_toe
12,79.0,0.4166666666666667,5,2.188721875540867,llm_litellm_fireworks_ai_accounts_fireworks_models_kimi_k2_instruct,tic_tac_toe
10,21.0,0.0,1,-0.0,llm_litellm_fireworks_ai_accounts_fireworks_models_llama_v3_70b_instruct,tic_tac_toe
10,21.0,0.0,1,-0.0,llm_litellm_fireworks_ai_accounts_fireworks_models_llama_v3_8b_instruct,tic_tac_toe
15,34.2,0.0,2,0.8366407419411672,llm_litellm_fireworks_ai_accounts_fireworks_models_qwen3_235b_a22b_thinking_2507,tic_tac_toe
4,28.75,0.25,3,1.5,llm_litellm_gpt_3.5_turbo,tic_tac_toe
8,46.5,1.0,2,0.954434002924965,llm_litellm_gpt_4,tic_tac_toe
4,47.0,0.75,3,1.5,llm_litellm_gpt_4_turbo,tic_tac_toe
10,25.0,0.0,1,-0.0,llm_litellm_gpt_5,tic_tac_toe
10,25.0,0.0,1,-0.0,llm_litellm_gpt_5_mini,tic_tac_toe
10,42.0,0.0,1,-0.0,llm_litellm_gpt_o4_mini,tic_tac_toe
16,21.25,0.5625,3,1.4197367178034825,llm_litellm_groq_gemma2_9b_it,tic_tac_toe
5,37.0,0.0,1,-0.0,llm_litellm_groq_gemma_7b_it,tic_tac_toe
16,21.75,0.25,2,0.8112781244591328,llm_litellm_groq_llama3_70b_8192,tic_tac_toe
214,43.62149532710281,0.5794392523364486,5,1.7134835898082135,llm_litellm_groq_llama3_8b_8192,tic_tac_toe
55,46.43636363636364,0.8727272727272727,5,1.817054981526774,llm_litellm_groq_llama_3.1_8b_instant,tic_tac_toe
10,27.0,0.0,1,-0.0,llm_litellm_groq_qwen3_32b,tic_tac_toe
8,64.25,1.0,4,1.9056390622295665,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_70B_Instruct_Turbo,tic_tac_toe
8,63.25,1.0,3,1.4056390622295665,llm_litellm_together_ai_meta_llama_Meta_Llama_3.1_8B_Instruct_Turbo,tic_tac_toe
21,33.904761904761905,0.38095238095238093,6,2.3078203984541243,llm_litellm_together_ai_mistralai_Mixtral_8x7B_Instruct_v0.1,tic_tac_toe
2,12.0,0.0,1,-0.0,llm_vllm_Qwen2_7B_Instruct,tic_tac_toe
